,sampateny,lettre
vaky,"amakiana, famaky, famaky, famakiana, famakiana, fivaky, fivakiana, ivakiana, mahavaky, mamaky, mamaky, mamaky, mifamaky, mivaky, mpamaky, vakina, vakivaky, vinaky, voavaky",V
vakily,mivakily,V
vakivaky,voavakivaky,V
vala,"amalana, avala, famala, famalana, fivala, fivalàna, ivalana, kivalavala, mahavala, mamala, mifamala, mivala, mpamala, valana, voavala",V
valahetraka,"fivalahetraka, mivalahetraka",V
valaka,valabalaka,V
valaketraka,"fivalaketraka, mivalaketraka, mpivalaketraka",V
valalanina,mahavalalanina,V
valampatra,"avalampatra, fivalamparana, fivalampatra, ivalamparana, mahavalampatra, mivalampatra, mpivalampatra, tafavalampatra, valampadampatra, voavalampatra",V
valana,"amalanana, avalana, famalanana, famalanana, fampivalanana, fivalana, fivalanana, fivalanana, ivalanana, mahavalana, mamalana, mampivalana, mivalana, mivalana, mpivalana, tafavalana, valambalana, voavalana",V
valandotra,"avalandotra, fivalandotra, mivalandotra, mpivalandotra",V
valangidina,"avalangidina, fivalangidina, mivalangidina",V
valangitrika,mivalangitrika,V
valavala,"amalavalana, avalavala, famalavala, famalavalana, fivalavala, fivalavalana, kivalavala, mahavalavala, mamalavala, mivalavala, mpamalavala, valavalaina, valavalana, voavalavala",V
vale,ampifanambalie,V
valy,"ifamaliana, pivaly",V
valy,"avaly, famaly, famaliana, fifamaliana, fivaly, fivaliana, ivaliana, mahavaly, mamaly, manavaly, mivaly, mpamaly, mpivaly, tsimbalivaly, valiana, valivaly, vinaly, voavaly",V
valiha,mpamaliha,V
valika,mamalika,V
valivaly,kovalivaly,V
valo,"ampahavalo, fahavalo, fahavalo, fivalo, fivaloana, havaloana, imbalo, ivaloana, mivalo, tsivalovalo, valoina, voavalo",V
valo,"fivalo, fivalozana, ivalozana, mahavalo, mivalo, mpivalo, valovalo",V
valombalona,"fivalombalona, mivalombalona",V
valona,"amalonana, avalona, famalona, famalonana, fivalona, fivalonana, mahavalona, mamalona, mivalona, mpamalona, valombalona, voavalona",V
valongana,"avalongana, famalongana, fivalongana, mahavalongana, mamalongana, mivalongana, mpamalongana, voavalongana",V
valovalo,mivalovalo,V
vamba,famamba,V
vaña,mivaña,V
vanaka,"avanaka, fivanahana, fivanaka, ivanahana, mahavanaka, mivanàka, mpivanaka, tafavanaka",V
vanavana,"amanavanana, avanavana, famanavana, famanavanana, fivanavana, fivanavanana, ivanavanana, mahavanavana, mamanavana, mivanavana, mpamanavana, tafavanavana, vanavanaina, voavanavana",V
vandambandana,"mamandambandana, mivandambandana",V
vandana,"mamandana, vandambandana, vandanina, voavandana",V
vandy,"fivandy, havandesa, mavandy, mivandy, mpivandy",V
vanditra,"amandirana, avanditra, famandirana, famanditra, fivandirana, fivanditra, ivandirana, mamanditra, mivanditra, mpamanditra, vandimbanditra, voavanditra",V
vandraka,"avandraka, fivandrahana, fivandraka, ivandrahana, mahavandraka, mivandraka, tafavandraka, vandrahana",V
vandravandra,"amandravandrana, avandravandra, famandravandra, famandravandrana, fivandravandra, fivandravandrana, ivandravandrana, mahavandravandra, mamandravandra, mampivandravandra, mivandravandra, mpamandravandra, mpivandravandra, tafavandravandra, voavandravandra",V
vandry,"avandry, fivandry, fivandriana, ivandriana, mivandry, mpivandry, vandriana, vandrivandry, voavandry",V
vandrina,"mivandrina, vandrinina",V
vanenaka,mivanenaka,V
vanga,vangavanga,V
vanga,"avanga, fivangana, mamanga, mivanga, vangay, vangana, vinanga",V
vangy,"amangiana, avangy, famangy, famangiana, famangiana, fifampamangy, mahavangy, mamangy, mampamangy, mifampamangy, mpamangy, mpifampamangy, vangiana, voavangy",V
vangy,vangivangy,V
vangivangy,"mahavangivangy, mivangivangy",V
vango,"amangoana, avango, famango, famangoana, mahavango, mamango, mifamango, mpamango, vangoana, vangovango, vinango, voavango",V
vangongo,"anavangongoana, avangongo, fanavangongo, fanavangongoana, fivangongo, fivangongoana, ivangongoana, mahavangongo, mampivangongo, manavangongo, mivangongo, mpampivangongo, mpanavangongo, tafavangongo, vangongoana, vangongoina, voavangongo",V
vangovango,"mamangovango, vangovangoina",V
vany,"mavany, vanivany",V
vanika,"avanika, fivanihana, fivanika, fivanikana, ivanihana, mivan&igrave;ka, mpivanika",V
vanivany,"fivanivany, fivanivaniana, ivanivaniana, mivanivany, mpivanivany",V
vanivany,mavanivany,V
vankona,"amankonana, avankona, famankona, famankonana, mahavankona, mamankona, mpamankona, vankonina, voavankona",V
vaño,vañony,V
vanona,"ahavanonana, avanona, fahavanona, fahavanonana, mahavanona, mpahavanona, vanonina",V
vantana,vantany,V
vantana,"amantanana, avantana, famantana, famantanana, fivantana, fivantanana, ivantanana, mahavantana, mamantana, mivantana, mpamantana, vantambantana, vantanina",V
vantotra,mivantotra,V
vantsy,mamantsy,V
vao,"anavaozana, fanavao, fanavaozana, fihavaozana, havaozina, ihavaozana, mahavao, manavao, mifanavao, mihavao, mpanavao, vaovao, vaovao, vaozina",V
vaofy,mpivaofy,V
vaoka,vaohina,V
vaona,"avaona, fivaona, fivaonana, ivaonana, mivaona, mpivaona, tafavaona, vaombaona",V
varahontsana,"fivarahontsana, mampivarahontsana, mivarahontsana, mivarahontsana",V
varaka,"fivarakahaka, mivaraka, varakahaka",V
varakahaka,mivarakahaka,V
vareraka,"anavarerahana, avareraka, fanavarerahana, fanavareraka, fivarerahana, fivareraka, ivarerahana, manavareraka, mivareraka, mpanavareraka, mpivareraka, tafavareraka, vareradreraka, voavareraka",V
vary,hamary,V
vary,"kivarivary, tsivarivary",V
variana,"fahavariana, fahavarianana, mahavariana, varimbariana, varivariana",V
varilavo,mivarilavo,V
varina,anamarinana,V
varina,"amarinana, avarina, famarina, famarinana, fivarina, fivarinana, ivarinana, mahavarina, mamarina, mivarina, mpamarina, mpivarina, tafavarina, varimbarina, voavarina",V
varirotra,"fivarirotra, mahavarirotra, mivarirotra, varirodrirotra",V
varivary,"mahavarivary, mahavarivary, tsimbarivary",V
varivary,"famarivary, mamarivary, mpamarivary, varivarina",V
varizoka,"fivarizohana, fivarizoka, ivarizohana, mahavarizoka, mivarizoka, mpivarizoka, tafavarizoka, varizodrizoka, varizohina",V
varo,mivaro,V
varoraka,"anavarorahana, avaroraka, fanavarorahana, fanavaroraka, fivarorahana, fivaroraka, ivarorahana, mahavaroraka, manavaroraka, mivaroraka, mpanavaroraka, mpivaroraka, tafavaroraka, varoradroraka, voavaroraka",V
varotra,fifampivarotana,V
varotra,"fivarotana, fivarotra, ivarotana, mahavarotra, mampivarotra, mifampivarotra, mivarotra, mpivarotra, varobarotra, voavarotra",V
varotry,mpamarotry,V
varozaka,"anavarozahana, avarozaka, fanavarozahana, fanavarozaka, fivarozahana, fivarozaka, ivarozahana, mahavarozaka, manavarozaka, mivarozaka, mpanavarozaka, mpivarozaka, varozadrozaka",V
vasavasa,"amasavasana, famasavasa, famasavasana, fivasavasa, fivasavasana, mahavasavasa, mamasavasa, mivasavasa, mpamasavasa, mpivasavasa, vasavasaina, vasavasana, voavasavasa",V
vasoka,"amasohana, famasohana, famasoka, mahavasoka, mamasoka, mihavasoka, mpamasoka, vasobasoka, vasohina, voavasoka",V
vato,"famato, mamato, tambato, vatoana, vatoina, vatovato",V
vatotry,fivatotry,V
vatovato,"famatovato, mamatovato, vatovatoina",V
vatra,"fivatra, mivatra",V
vatra,"ahavarana, fahavarana, fahavatra, fifankavarana, ifankavarana, mahavatra, mankavatra, mifankavatra, mpahavatra, vabatra, varina",V
vatravatra,"amatravatrana, avatravatra, famatravatrana, fivatravatra, fivatravatrana, ivatravatrana, mamatravatra, mivatravatra, mpivatravatra, vatravatraina, voavatravatra",V
vatritrika,mivatritrika,V
vatsa,fivatsavatsana,V
vatsavatsa,mamatsavatsa,V
vatsavatsa,"amatsavatsana, avatsavatsa, famatsavatsa, famatsavatsana, fivatsavatsa, ivatsavatsana, mahavatsavatsa, mamatsavatsava, mifampivatsavatsa, mivatsavatsa, mpamatsavatsa, mpivatsavatsa, vatsavatsaina, voavatsavatsa",V
vatsy,"hamatsy, vatsiana",V
vatsy,"amatsiana, avatsy, famatsy, famatsiana, fivatsy, fivatsiana, ivatsiana, mahavatsy, mamatsy, mivatsy, mpivatsy, vatsina, vinatsy, voavatsy",V
vava,"ivavavavana, tambava",V
vava,"amavàna, famava, famavana, fivava, mahavava, mamava, mivava, mpamava, vavàna, vavàna, vavavava, voavava",V
vavaka,"ampivavahina, fivavahana, fivavaka, ivavahana, mahavavaka, mampivavaka, mifampivavaka, mivavaka, mpivavaka, vavabavaka, voavavaka",V
vavala,ambavala,V
vavatra,"amavarana, avavatra, famavarana, famavatra, mahavavatra, mamavatra, mpamavatra, vavarana, voavavatra",V
vavatsy,"manavatsy, mivavatsy",V
vavavava,"mivavavava, mivavavava",V
vaventy,"haventesana, vaventiventy",V
vavy,"kovavy, mamavy, mivavy, vave",V
vavy,fanambaviana,V
vavy,"fivaviana, kambavy, zavavy",V
vavy,"famavy, mavavy, miambavy, mpamavy, tambavy, vavena, vaviana, vavina",V
vazaha,"mahavazaha, vazahaina, vazahazaha",V
vazana,"amazanana, avazana, famazana, mamazana, vazanana",V
vazana,famazanana,V
vazavaza,"fivazavaza, fivazavazana, ivazavazàna, mahavazavaza, mivazavaza, mpivazavaza, vazavazaina, voavazavaza",V
vazimba,vazimbaina,V
vazina,havazinana,V
vazina,"fivazina, fivazinana, ivazinana, mahavazina, manavazina, mivazina, mpivazina, vazimbazina",V
vazivazy,kivazivazy,V
vazivazy,"amazivaziana, avazivazy, famazivazy, famazivazy, famazivaziana, fivazivazy, fivazivaziana, ivazivaziana, ivazivazina, mahavazivazy, mamazivazy, mivazivazy, mpamazivazy, mpivazivazy, vazivazina, voavazivazy",V
vazizo,"fivazizo, fivazizoana, ivazizoana, mahavazizo, mivazizo, mpivazizo",V
vazo,"fivazo, fivazoana, ivazoana, mahavazo, mivazo, mpivazo, vazoina, vazovazo",V
ve,"mive, mpive",V
vela,"añavelaña, mañavela, miavela, namela",V
vela,"famela, tavela",V
vela,"ambela, amelana, avela, famelana, fivela, fivelana, ivelana, mahavela, mamela, mifamela, mivela, mpamela, mpivela, tafavela, velavela, voavela",V
velabelatra,"famelabelarana, mamelabelatra, mivelabelatra, velabelarina",V
velatra,velarana,V
velatra,"amelarana, avelatra, famelarana, famelatra, fampivelarana, fivelarana, fivelatra, ivelarana, mahavelatra, mamelatra, mampivelatra, mivelatra, mivelatra, mpamelatra, tafavelatra, velabelatra, velarana, velarina, voavelatra",V
velatry,mamelatry,V
vely,"amelezana, amely, avely, famelezana, famely, fivelezana, fively, ivelezana, mahavely, mamely, mifamely, mively, mpamely, mpively, velezina, vinely, voavely",V
velo,mamelo,V
velombelona,mamelombelona,V
velombelona,mahavelombelona,V
velona,"ampivelomana, ampivelomina",V
velona,"ahavelomana, amelomana, fahavelomana, famelomana, famelona, fivelomana, fivelona, ivelomana, mahavelona, mamelona, mampivelona, mivelona, mpamelona, mpampivelona, mpivelona, tambelona, velombelona, velomina, vinelona, voavelona",V
velovelo,"mamelovelo, mampamelovelo",V
vembena,tsivembena,V
vembena,"avembena, fivembena, fivembenana, mivembena, savembena, tafavembena, voavembena",V
vena,"ivembenana, mahavembena, mpivembena",V
vena,"avena, fivena, mivena, mpivena, vembena, voavena",V
venavena,"famenavena, fanavenavena, fivenavena, fivenavenana, ivenavenana, mamenavena, manavenavena, mangovenavena, mivenavena, mpanavenavena, mpivenavena, savenavena",V
vendrana,"amendranana, avendrana, famendrana, famendranana, fivendrana, mahavendrana, mamendrambendrana, mamendrana, mivendrana, mpamendrana, vendrambendrana, vendranina, voavendrana",V
vendrivendry,"amendrivendrena, avendrivendry, famendrivendrena, famendrivendry, fivendrivendrena, fivendrivendry, ivendrivendrena, mahavendrivendry, mamendrivendry, mivendrivendry, mpamendrivendry, mpivendrivendry, tafavendrivendry, voavendrivendry",V
venty,"fiventesana, fiventy, iventesana, mahaventy, miventy, mpiventy, ventesina, voaventy",V
veraberaka,miveraberaka,V
veraka,"amerahana, famerahana, fameraka, fiverahana, fiveraka, iverahana, mahaveraka, mameraka, miveraka, mpameraka, veraberaka, verahina, voaveraka",V
veravera,"mitaveravera, saveravera",V
veravera,"ameraveràna, averavera, fameravera, fameraverana, fiveravera, fiveraverana, iveraveràna, mahaveravera, mameravera, manaveravera, miveravera, mpameravera, mpiveravera, veraveraina, voaveravera",V
very,amarezana,V
very,"ahaverezana, amerezana, arisaka, fahaverezana, famerezana, famery, haverezana, mahavery, mamery, mpamery, verezina, verivery",V
veriky,"miveriky, mpiveriky",V
verimberina,"averimberina, fiverimberenana, iverimberenana, mamerimberina",V
verina,tamberina,V
verina,"amerenana, averina, famerenana, famerina, fiverenana, fiverina, iverenana, mahaverina, mamerina, mampiverina, miverimberina, miverina, mpamerina, mpiverina, tafaverina, tamberina, verimberina, voaverina",V
vero,verovero,V
verovero,mamerovero,V
vesabesatra,mavesabesatra,V
vesatra,"anavesarana, mavesatra, mavesatra, mavesatra",V
vesatra,"amesarana, avesatra, fahavesarana, famesarana, famesatra, fivesarana, fivesatra, havesarana, ivesarana, mahavesatra, mamesatra, manavesatra, mihavesatra, mivesatra, mpamesatra, mpivesatra, tambesatra, vesabesatra, vesarana, vesarina, voavesatra",V
vesatry,"havesara, mavesatry, mivesatry",V
vesoka,"fivesohana, fivesoka, ivesohana, kabesoka, mahavesoka, mivesoka, mpivesoka, vesobesoka, vesohina, voavesoka",V
veta,"ametana, ametana, mameta",V
veta,"fameta, fametana, mahaveta, mameta, mpameta, vetaina, vetaveta, voaveta",V
vetaveta,"fahavetavetana, vetavetaina",V
vetaveta,"ametavetana, fametavetana, mametaveta",V
vetivety,mivetsivetsy,V
vetraka,tsivetraka,V
vetraka,"ambetraka, avetraka, fivetrahana, fivetraka, ivetrahana, mahavetraka, mivetraka, mpivetraka, vetrabetraka, voavetraka",V
vetrika,"fivetrehana, fivetrika, ivetrehana, mahavetrika, mivetrika, mpivetrika, vetrehina, vetribetrika, voavetrika",V
vetro,"fivetro, mivetro, vetrovetro",V
vetrovetro,"fivetrovetro, mivetrovetro",V
vetsivetsy,"ametsivetsena, fametsivetsena",V
vetsivetsy,"fametsivetsy, fivetsivetsena, fivetsivetsy, ivetsivetsena, mahavetsivetsy, mametsivetsy, mametsivetsy, mpametsivetsy, mpivetsivetsy, vetsivetsena, voavetsivetsy",V
vetso,vetsovetso,V
vetsovetso,"fametsovetso, fametsovetsoana, fivetsovetso, fivetsovetsoana, ivetsovetsoana, mahavetsovetso, mametsovetso, mivetsovetso, mpametsovetso, mpivetsovetso, vetsovetsoina, voavetsovetso",V
vevy,miambevy,V
vezabezatra,amezabezarana,V
vezatra,"amezarana, avezatra, famezarana, famezatra, fivezarana, fivezatra, ivezarana, mamezatra, mivezatra, mpamezatra, vezarina, vezatina, voavezatra",V
vezaveza,"amezavezàna, avezaveza, famezaveza, famezavezana, fivezaveza, fivezavezana, ivezavezana, mahavezaveza, mamezaveza, mivezaveza, mpamezaveza, mpivezaveza, vezavezaina, voavezaveza",V
vezika,"avezika, fivezehana, fivezika, ivezehana, mahavezika, mivezika, mpivezika, tafavezika, voavezika",V
vezimbezina,"mamezimbezina, mivezimbezina",V
vezina,"avezina, fivezenana, fivezina, ivezenana, mivezina, tafavezina, vezimbezina",V
vezivezy,"amezivezena, avezivezy, famezivezena, famezivezy, fivezivezena, fivezivezy, ivezivezena, mahavezivezy, mamezivezy, mampivezivezy, mivezivezy, mpamezivezy, mpivezivezy, tafavezivezy, voavezivezy",V
vezo,ambezo,V
vezovezo,"amezovezoana, famezovezo, famezovezoana, fivezovezo, fivezovezoana, ivezovezoana, mahavezovezo, mamezovezo, mivezovezo, mpamezovezo, mpivezovezo, vezovezoina, voavezovezo",V
vy,tambỳ,V
vibika,mavibika,V
vidy,ambidy,V
vidy,"amidy, ampividianana, fividy, fividianana, ividianana, kividividy, mahavidy, mampividy, mividy, mpividy, vidiana, vidina, vidividy, vinidy, voavidy",V
vihivihy,"fivihivihy, fivihivihiana, ivihivihiana, mivihivihy, mivihivihy, mpivihivihy",V
vika,"mavika, vibika",V
vika,"fivika, mivika",V
vikavika,"amikavikana, avikavika, famikavika, famikavikana, fampamikavika, fivikavika, fivikavikana, ivikavikàna, mahavikavika, mamikavika, mivikavika, mpamikavika, vikavikaina, voavikavika",V
viky,mambiky,V
vikina,itsambikinana,V
vikina,"amikinana, avikina, famikina, famikinana, fivikina, fivikinana, ivikinana, mahavikina, mamikina, mivikina, mpamikina, mpivikina, tafavikina, tsambikina, vikimbikina, vikinina, vinikina, voavikina",V
vikiviky,"fivikiviky, fivikivikiana, ivikivikiana, mamikiviky, mavikiviky, mivikiviky, mpivikiviky, tafavikiviky",V
vilaka,"avilaka, mahavilaka, mivilaka, savilaka, sovilaka, vilahina, voavilaka",V
vilana,"avilana, fivilana, fivilanana, mahavilana, mivilana, vilambilana, voavilana",V
vilanila,mamilanila,V
vilavila,familavila,V
vilavila,"amilavilana, avilavila, familavilana, fivilavila, fivilavilana, ivilavilàna, kovilavila, mahavilavila, mamilavila, mivilavila, mpamilavila, vilavilaina, voavilavila",V
vily,"amiliana, avily, family, familiana, fivily, fiviliana, iviliana, mahavily, mamily, mivily, mpamily, mpivily, savily, tafavily, vilivily, voavily",V
vilina,familina,V
vilina,"amilinana, avilina, familinana, fivilina, mahavilina, mamilina, mivilina, mpamilina, voavilina",V
vilivily,asavilivily,V
vilivily,"fanakivilivily, fanakiviliviliana, fikiviliviliana, kivilivily, mivilivily, savilivily",V
vilona,ambilona,V
vimbina,"avimbina, fivimbina, fivimbinana, ivimbinana, mahavimbina, mivimbina, mpivimbina, vimbimbimbina, vimbinina, vinimbina, voavimbina",V
vinany,faminany,V
vinany,"ahavinaniana, aminaniana, avinany, faminaniana, mahavinany, maminany, mpaminany, vinanina, vinaninany, voavinany",V
vinavina,"aminavinana, avinavina, faminavina, faminavinana, mahavinavina, maminavina, mpaminavina, vinavinaina, voavinavina",V
vindaka,"fivindahana, fivindaka, fivindavindaka, ivindahana, mahavindaka, mivindaka, mpivindaka, tafavindaka",V
vindavinda,"fivindavinda, fivindavindana, ivindavindana, mahavindavinda, mivindavinda, mpivindavinda, tafavindavinda",V
vindina,"fivindina, fivindinana, ivindinana, mivindina, mpivindina",V
vingavinga,"amingavingana, famingavinga, famingavingana, mahavingavinga, mamingavinga, mpamingavinga, vingavingaina, voavingavinga",V
vingy,"fivingy, mivingy, mpivingy, tafavingy, vingina, vingivingy, voavingy",V
vingitra,"amingitana, avingitra, famingitana, famingitra, mamingitra, mivingitra, mpamingitra, vingimbingitra, vingirina, vingitina, voavingitra",V
vingivingy,"amingivingiana, avingivingy, famingivingy, famingivingiana, fivingivingy, fivingivingiana, ivingivingiana, mamingivingy, mpamingivingy, mpivingivingy, tafavingivingy, vingivingina, voavingivingy",V
vinitra,"fahavinirana, fivinirana, fivinitra, havinirana, ivinirana, mahavinitra, mivinitra, mpivinitra, tafavinitra, vinibinitra, vinirina",V
viniviny,"aviniviny, fiviniviny, fiviniviniana, iviniviniana, mahaviniviny, miviniviny, mpiviniviny, tafaviniviny",V
vintana,vintanina,V
vio,"mavio, viovio",V
vio,fivio,V
vioka,"avioka, fivioka, mivioka, mpivioka, tafavioka, viobioka",V
viombiona,miviombiona,V
viona,"aviona, fiviona, fivionana, ivionana, miviona, mpiviona, tafaviona, viombiona",V
viongio,mamiongio,V
viovio,maviovio,V
viravira,"amiravirana, aviravira, famiravira, famiravirana, famiravkàna, mahaviravira, mamiravira, mpamiravira, viniravira, viraviraina, voaviravira",V
virioka,"avirioka, fivirioka, mivirioka, tafavirioka, viriodrioka",V
virjiny,fahavirjiniana,V
viroka,"fiviroka, mahaviroka, miviroka, mpiviroka, voaviroka",V
virotra,"avirotra, fivirotra, mahavirotra, mivirotra, mpivirotra, voavirotra",V
visavisa,"amisavisana, famisavisa, famisavisana, mahavisavisa, mamisavisa, mpamisavisa, visavisaina, voavisavisa",V
vita,"ahavitana, amitana, fahavita, fahavitana, famita, famitana, fampamita, fivita, mahavita, mamita, mpamita, vinita, vitaina, vitavita",V
vity,mamity,V
vitrambitrana,mivitrambitrana,V
vitrana,"amitranana, avitrana, famitrana, famitrana, famitranana, fivitrana, fivitranana, ivitranana, mahavitrana, mamitrana, mivitrana, mpamitrana, mpivitrana, vitrambitrana, voavitrana",V
vitribitrika,mavitribitrika,V
vitrika,"fahavitrihana, havitrihana, havitrika, mahavitrika, mampahavitrika, mavitrika, vitribitrika",V
vitsy,fahavitsy,V
vitsy,"amitsiana, anavitsiana, fahavitsiana, famitsy, famitsiana, fanavitsy, fanavitsiana, havitsy, havitsiana, havitsina, mahavitsy, mamitsy, manavitsy, mpamitsy, mpanavitsy, vitsivitsy",V
vitsika,tambitsika,V
vivy,fivivy,V
vivitra,"avivitra, avivitra",V
vivitra,"amivitana, ankambivitra, famivitana, famivitra, fivivitana, fivivitra, ivivitana, mahavivitra, mamivitra, mivivitra, mpamivitra, vivibivitra, vivitina, voavivitra",V
vizaka,mamizaka,V
vizaka,"fivizaka, mahavizaka, mivizaka, mpivizaka, vizambizaka, voavizaka",V
vizana,"amizanana, fahavizanana, famizana, famizanana, fivizana, fivizanana, havizanana, ivizanana, mahavizana, mamizana, mivizana, mpamizana, mpivizana, vinizana, vizambizana, vizanina, voavizana",V
vizatra,"amizatana, famizatana, famizatra, fivizatana, fivizatra, ivizatana, mahavizatra, mamizatra, mivizatra, mpamizatra, mpivizatra, vizabizatra, vizatina",V
vizaviza,"amizavizana, avizaviza, famizaviza, famizavizana, mahavizaviza, mamizaviza, mpamizaviza, vizavizaina, voavizaviza",V
voa,"famoafadiana, mampamoa, mifankavoa, pamoa, pifankavoa",V
voa,"amoazana, famoa, famoazana, hamoa, mamoa, mamoa, mpamoa",V
voa,"ahavoazana, fahavoazana, mahavoa, mpahavoa",V
voa,voavoa,V
voaboaka,mivoaboaka,V
voady,"fivoady, fivoadiana, ivoadiana, mahavoady, mivoady, mpivoady, voadivoady",V
